samples,replicates,scoring
Lys 11,A,1A3
Lys 11,A,5A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,5A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,1A3
Lys 11,A,3A2
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,1A3
Lys 11,A,3A2
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,4A3
Lys 11,A,2A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,2A3
Lys 11,A,5A3
Lys 11,A,3A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,4A3
Lys 11,A,3A3
Lys 11,A,2A3
Lys 11,A,0A0
Lys 11,A,3A3
Lys 11,A,3A3
Lys 11,A,2A3
Lys 11,A,0A0
Lys 11,A,3A3
Lys 11,A,0A0
Lys 11,A,3A3
Lys 11,A,3A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,1A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,4A3
Lys 11,A,5A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,4A3
Lys 11,A,3A3
Lys 11,A,1A3
Lys 11,A,3A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,3A3
Lys 11,A,4A3
Lys 11,A,5A3
Lys 11,A,1A3
Lys 11,A,0A0
Lys 11,A,5A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,1A3
Lys 11,A,0A0
Lys 11,A,1A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,3A3
Lys 11,A,2A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,4A3
Lys 11,A,3A3
Lys 11,A,2A3
Lys 11,A,4A3
Lys 11,A,2A3
Lys 11,A,0A0
Lys 11,A,5A3
Lys 11,A,0A0
Lys 11,A,5A3
Lys 11,A,1A3
Lys 11,A,4A3
Lys 11,A,5A3
Lys 11,A,3A3
Lys 11,A,5A3
Lys 11,A,0A0
Lys 11,A,3A3
Lys 11,A,5A3
Lys 11,A,3A3
Lys 11,A,3A3
Lys 11,A,1A3
Lys 11,A,0A0
Lys 11,A,5A3
Lys 11,A,5A3
Lys 11,A,5A3
Lys 11,A,5A3
Lys 11,A,3A3
Lys 11,A,2A3
Lys 11,A,4A3
Lys 11,A,4A3
Lys 11,A,3A3
Lys 11,A,0A0
Lys 11,A,5A3
Lys 11,A,2A3
Lys 11,A,3A3
Lys 11,A,4A3
Lys 11,A,0A0
Lys 11,A,3A3
Lys 11,A,5A3
Lys 11,A,2A3
Lys 11,A,2A3
Lys 11,A,2A3
Lys 11,A,5A3
Lys 11,A,5A3
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,A,0A0
Lys 11,B,2A3
Lys 11,B,4A3
Lys 11,B,0A0
Lys 11,B,3A3
Lys 11,B,2A3
Lys 11,B,0A0
Lys 11,B,5A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,2A3
Lys 11,B,2A3
Lys 11,B,0A0
Lys 11,B,3A3
Lys 11,B,1A3
Lys 11,B,1A3
Lys 11,B,1A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,2A3
Lys 11,B,1A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,1A3
Lys 11,B,0A0
Lys 11,B,2A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,3A3
Lys 11,B,3A3
Lys 11,B,2A3
Lys 11,B,3A3
Lys 11,B,0A0
Lys 11,B,1A3
Lys 11,B,0A0
Lys 11,B,1A3
Lys 11,B,0A0
Lys 11,B,2A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,3A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,2A3
Lys 11,B,1A3
Lys 11,B,0A0
Lys 11,B,3A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,1A3
Lys 11,B,0A0
Lys 11,B,2A3
Lys 11,B,2A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,2A3
Lys 11,B,3A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,2A3
Lys 11,B,3A3
Lys 11,B,2A3
Lys 11,B,3A3
Lys 11,B,2A3
Lys 11,B,2A3
Lys 11,B,0A0
Lys 11,B,1A3
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,0A0
Lys 11,B,1A3
Lys 11,B,2A3
