"Samples","Replicates","Total","Hyphopodia","IntrHyphae","Arbuscules","Vesicles"
"WT","A",23,3.33333333333333,23,23,6.66666666666667
"WT","B",39.6666666666667,3.33333333333333,39.6666666666667,38.6666666666667,10.3333333333333
"WT","C",27.3333333333333,3.66666666666667,27.3333333333333,27.3333333333333,6
"cyclops-3","A",21.3333333333333,12,19.3333333333333,0,0
"cyclops-3","B",24.6666666666667,13,24.6666666666667,0,0
"cyclops-3","C",10,5,10,0,0
"cyclops-4","A",14,3.33333333333333,14,0,0
"cyclops-4","B",20.3333333333333,10.6666666666667,17.3333333333333,0,0
"cyclops-4","C",13.6666666666667,4.33333333333333,13.6666666666667,0,0
"ccamk-13","A",9.33333333333333,9.33333333333333,0,0,0
"ccamk-13","B",10.3333333333333,10.3333333333333,0,0,0
"ccamk-13","C",15,15,0,0,0
